"Date";"Open";"High";"Low";"Close";"Change, %"
"2009-01-01";"13.601";"13.86";"13.601";"13.86";"0.00"
"2009-01-02";"13.7085";"13.9091";"13.6128";"13.6997";"-1.16"
"2009-01-05";"13.6878";"13.8038";"13.4138";"13.4537";"-1.80"
"2009-01-06";"13.435";"13.5508";"13.22";"13.3625";"-0.68"
"2009-01-07";"13.36";"13.496";"13.2975";"13.4845";"+0.91"
"2009-01-08";"13.4422";"13.6922";"13.3882";"13.6463";"+1.20"
"2009-01-09";"13.6825";"13.7873";"13.5625";"13.6375";"-0.06"
"2009-01-12";"13.5862";"13.8384";"13.5563";"13.7837";"+1.07"
"2009-01-13";"13.777";"13.9087";"13.7195";"13.8149";"+0.23"
"2009-01-14";"13.8117";"14.1923";"13.7597";"14.1013";"+2.07"
"2009-01-15";"14.121";"14.3432";"13.886";"13.945";"-1.11"
"2009-01-16";"13.945";"13.974";"13.6525";"13.8925";"-0.38"
"2009-01-19";"13.8649";"14.0288";"13.8023";"13.8622";"-0.22"
"2009-01-20";"13.89";"14.1235";"13.84";"14.0435";"+1.31"
"2009-01-21";"14.0144";"14.047";"13.782";"13.798";"-1.75"
"2009-01-22";"13.7727";"14.1213";"13.6825";"14.0525";"+1.84"
"2009-01-23";"14.076";"14.2509";"13.9599";"14.01";"-0.30"
"2009-01-26";"14.0424";"14.1825";"13.8825";"14.0725";"+0.45"
"2009-01-27";"14.0793";"14.2818";"13.9325";"14.22";"+1.05"
"2009-01-28";"14.2329";"14.2629";"13.9769";"14.0404";"-1.26"
"2009-01-29";"14.01";"14.2418";"13.9825";"14.1875";"+1.05"
"2009-01-30";"14.19";"14.4625";"14.153";"14.342";"+1.09"
"2009-02-02";"14.2825";"14.5745";"14.2225";"14.4568";"+0.80"
"2009-02-03";"14.4375";"14.6441";"14.4125";"14.5763";"+0.83"
"2009-02-04";"14.5753";"14.7115";"14.377";"14.483";"-0.64"
"2009-02-05";"14.4535";"14.4895";"14.2245";"14.355";"-0.88"
"2009-02-06";"14.3535";"14.372";"14.091";"14.1948";"-1.12"
"2009-02-09";"14.0845";"14.2375";"14.0555";"14.2126";"+0.13"
"2009-02-10";"14.2056";"14.5714";"14.1055";"14.5455";"+2.34"
"2009-02-11";"14.5257";"14.6165";"14.4215";"14.5025";"-0.30"
"2009-02-12";"14.4685";"14.651";"14.461";"14.5025";"0.00"
"2009-02-13";"14.4575";"14.649";"14.31";"14.47";"-0.22"
